FileName,FrameRate,TotalNumFrames,NumFramesWithIndividuals,NumOfIndividuals,MedianGap,WaterQuality,Brightness,Camera,ObservationRatePer1000
/input/seafood/VIDEOS/snapper/2022/2022-12-20_C9_TD-F1_georgia-samuels/GX020200.MP4,29,3060,193,207,32.0,clear,bright,gopro,63.0718954248366
/input/seafood/VIDEOS/snapper/2022/2022-12-20_C9_TD-F1_georgia-samuels/GX010200.MP4,29,9720,1155,1309,22.0,clear,bright,gopro,118.82716049382717
/input/seafood/VIDEOS/snapper/2022/2022-12-20_C5_TD-F4_georgia-samuels/GX020199.MP4,29,3666,673,819,18.0,clear,bright,gopro,183.57883251500274
/input/seafood/VIDEOS/snapper/2022/2022-12-20_C5_TD-F4_georgia-samuels/GX010199.MP4,29,9600,1794,2187,18.0,clear,bright,gopro,186.875
/input/seafood/VIDEOS/snapper/2022/2022-11-16_C9_TD-F1_georgia-samuels/F1_20221116.MP4,29,928,283,388,14.0,murky,dim,phone,304.9568965517241
/input/seafood/VIDEOS/snapper/2022/2022-11-16_C5_TD-F4_georgia-samuels/F4_20221116.MP4,29,918,263,366,16.0,murky,dim,phone,286.49237472766885
/input/seafood/VIDEOS/snapper/2022/2022-11-15_C9_TD-F1_georgia-samuels/GX012191.MP4,29,1628,130,152,28.0,murky,bright,gopro,79.85257985257985
/input/seafood/VIDEOS/snapper/2022/2022-11-15_C9_TD-F1_georgia-samuels/GX012189.MP4,29,4273,221,235,43.0,murky,bright,gopro,51.72010297215071
/input/seafood/VIDEOS/snapper/2022/2022-11-15_C5_TD-F4_georgia-samuels/GX012190.MP4,29,2281,224,260,24.0,murky,bright,gopro,98.20254274441034
/input/seafood/VIDEOS/snapper/2022/2022-11-15_C5_TD-F4_georgia-samuels/GX012188.MP4,29,4543,1013,1362,17.0,murky,bright,gopro,222.9804094210874
/input/seafood/VIDEOS/snapper/2022/2022-09-09_B4_GP247153348_nick-tuckey/videos/GX020006.MP4,29,16704,23,23,1040.0,murky,dim,gopro,1.3769157088122606
/input/seafood/VIDEOS/snapper/2022/2022-09-09_B4_GP247153348_nick-tuckey/videos/GX010006.MP4,29,69120,1074,1083,127.0,murky,dim,gopro,15.538194444444445
/input/seafood/VIDEOS/snapper/2022/2022-09-06_C7_TD-F1_georgia-samuels/GX010033.MP4,29,7601,2787,5076,18.0,clear,bright,gopro,366.66228127877906
/input/seafood/VIDEOS/snapper/2022/2022-09-06_C5_TD-F4_georgia-samuels/GX010032.MP4,29,8427,3092,5137,14.0,clear,bright,gopro,366.91586566987064
/input/seafood/VIDEOS/snapper/2022/2022-08-10_B4_GP50426965_nick-tuckey/videos/GX040026.MP4,29,15537,3091,3568,28.0,clear,bright,gopro,198.94445517152604
/input/seafood/VIDEOS/snapper/2022/2022-08-10_B4_GP50426965_nick-tuckey/videos/GX030026.MP4,29,21120,3772,4254,34.0,clear,bright,gopro,178.59848484848484
